% Model,gmshNewMeshX10Dif.mph
% Version,COMSOL 5.5.0.359
% Date,"Aug 12 2024, 20:25"
% Dimension,3
% Nodes,1730
% Expressions,1
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0
3.42E-4,0.00144,0.001689,399.99999999999994
0,0.001669,0.001657,399.99999999999994
3.93E-4,0.001949,8.52E-4,399.99999999999994
0,0.002239,9.02E-4,399.9999999999999
0,0.00164,9.27E-4,399.99999999999994
0,0.002007,0.001138,399.99999999999994
0,0.001633,0.0013,399.9999999999999
0.001032,0.001598,4.74E-4,399.99999999999994
0.001913,0.001325,0,399.99999999999994
0.0013,0.001633,0,399.9999999999999
4.61E-4,0.001615,0.00108,399.9999999999999
0.001578,7.08E-4,0.001499,399.99999999999994
0.001657,0,0.001669,400
0.00156,0.001496,7.1E-4,399.9999999999999
0.001657,0.001668,0,399.99999999999994
2.58E-4,0.002725,0,399.99999999999994
0,0.003,0,199.99999999999997
3.75E-4,0.002572,3.75E-4,399.99999999999994
5.26E-4,0.002626,0,399.99999999999994
8.59E-4,0.002545,0,399.9999999999999
0,0.002626,5.26E-4,399.9999999999999
0,0.002545,8.59E-4,399.9999999999999
0,0.002898,7.76E-4,160
0,0.002974,3.92E-4,199.99999999999997
3.61E-4,0.002919,5.89E-4,180
2.86E-4,0.002973,2.86E-4,183.3333333333333
3.92E-4,0.002974,0,199.99999999999997
0,0.002772,0.001148,199.99999999999997
3.07E-4,0.002823,9.67E-4,228.57142857142853
0,0.002392,0.001172,400
3.22E-4,0.002675,0.001319,200
0,0.002598,0.0015,199.99999999999997
0,0.002233,0.001486,399.9999999999999
4.24E-4,0.00232,0.001023,399.99999999999994
5.74E-4,0.002298,6.02E-4,399.99999999999994
5.76E-4,0.002825,8.3E-4,224.99999999999997
0.00241,9.98E-4,3.95E-4,399.99999999999994
0.002502,8.7E-4,0,399.99999999999994
0.002372,0.001185,0,400
0.002772,0.001148,0,239.99999999999997
0.002033,0.001257,5.39E-4,399.99999999999994
0.002258,0.001526,0,399.99999999999994
0.002026,0.001792,0,400
0.001004,0.002312,4.42E-4,399.99999999999994
0.001173,0.002392,0,400
0.001486,0.002233,0,399.99999999999994
0.001313,0.00199,5.48E-4,399.99999999999994
0.00147,0.001912,0,399.9999999999999
0,8.7E-4,0.002502,399.99999999999994
0,0.001185,0.002372,399.9999999999999
5.5E-4,0.001285,0.002009,399.99999999999994
0,0.001526,0.002258,399.99999999999994
0,0.001792,0.002026,399.9999999999999
0.001904,4.34E-4,0.001676,399.9999999999999
0.001767,0,0.002017,399.9999999999999
0.00147,0,0.001912,399.9999999999999
0.002026,0,0.001792,400
5.68E-4,5.69E-4,0.002294,399.9999999999999
5.26E-4,0,0.002626,400
8.59E-4,0,0.002545,399.9999999999999
0,5.4E-4,0.002631,400
0.0015,-3.7E-19,0.002598,199.99999999999997
0.001172,0,0.002392,399.99999999999994
0.001337,3.47E-4,0.002663,218.18181818181816
0.001486,0,0.002233,399.9999999999999
0.001148,-2.8E-19,0.002772,160
0.001311,5.49E-4,0.001983,399.99999999999994
0.001011,4.41E-4,0.002317,399.9999999999999
7.65E-4,9.78E-4,0.002268,399.99999999999994
0.001228,6.69E-4,0.002654,166.66666666666663
0.001488,6.59E-4,0.00252,199.99999999999997
2.8E-4,3.95E-4,0.002961,242.8571428571428
3.92E-4,-9.6E-20,0.002974,199.99999999999997
0,3.92E-4,0.002974,199.99999999999997
5.82E-4,3.4E-4,0.002923,166.66666666666663
7.76E-4,-1.9E-19,0.002898,199.99999999999997
9.82E-4,4.6E-4,0.002797,199.99999999999997
3.11E-4,6.73E-4,0.002907,200
0,7.76E-4,0.002898,199.99999999999997
3.91E-4,9.77E-4,0.002809,200
0,0.001148,0.002772,199.99999999999997
