% Model,AdvancedModel.mph
% Version,COMSOL 5.5.0.359
% Date,"May 26 2024, 19:00"
% Dimension,3
% Nodes,733
% Expressions,3
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0,Tcell (kg/m^3) @ t=0.01,Tcell (kg/m^3) @ t=0.02
3.676710340215334E-4,1.2424569678257528E-4,1.90364759691936E-4,399.99999982287477,399.95681970466035,399.9172193982796
4.4107875279321293E-4,1.8925625109027602E-4,1.4011283069053328E-4,222.22222219315438,222.2137160474965,222.20454369802107
4.2959237836046423E-4,1.4698458343637236E-4,2.0939417553461417E-4,199.99999997890697,199.99311090262782,199.98549072960927
3.924348512082877E-4,1.48378960834999E-4,2.719900211417423E-4,218.18181813757067,218.17143172360258,218.16211829274664
3.781842132022822E-4,8.561365122730625E-5,3.1566913639076135E-4,120.00000000205124,119.99976993527329,119.99875155873923
2.6293284913030015E-4,2.569302217095266E-4,3.3889995291586507E-4,214.28571425262808,214.27785833114993,214.27030057895598
1.5409380896003213E-4,2.7840635694149847E-4,2.631984715148312E-4,399.9999998244009,399.95609709948366,399.9144263036493
2.5064351912513084E-4,1.7705779937888985E-4,3.9475101274431194E-4,166.66666665967503,166.66465332386818,166.6620185999945
2.57273203698932E-4,1.522060816513995E-4,2.6012989408330647E-4,399.9999998319085,399.957261608995,399.9148181336465
3.235105212429641E-4,1.7119329073187644E-4,3.406373436868975E-4,218.18181815599732,218.1760546221076,218.1708334838866
3.398827480141632E-4,2.3005590665985289E-4,2.8557660526619627E-4,181.81818180764796,181.81547281224593,181.81267164747084
3.014804455649465E-4,2.9434131183980007E-4,2.6920760232780123E-4,174.9999999887276,174.99651701529802,174.99249694224045
1.5665698439354948E-4,3.906732462456443E-4,2.69875904771705E-4,257.14285708961864,257.13049552399025,257.1188550200478
8.878445609979078E-5,3.0625173778985867E-4,3.851326959849558E-4,166.66666665353637,166.66343200867112,166.65988138489928
7.38991755759202E-5,4.352781785927931E-4,2.346738569920351E-4,166.66666665510488,166.66381802110038,166.66061790968445
8.758554911519618E-5,3.7487159132300346E-4,3.1906121931620424E-4,159.99999999405532,159.99827708573224,159.9957925588457
1.5074022278183723E-4,2.1647651535182112E-4,2.041879840634118E-4,399.99999984229163,399.9605293456254,399.9203719764476
2.590769617100344E-4,2.4160230618491197E-4,1.663871020940439E-4,399.99999985012516,399.9566263532199,399.9111506504001
5.611364150212137E-4,8.030532275856495E-5,0,9.723204094194742E-9,0.0010788857799891754,0.0014921145828591055
7.99808698150071E-5,0,5.558790424517871E-4,5.714944331745586E-9,6.411937283087972E-4,9.120715033448787E-4
1.6658052832692783E-4,0,5.449722789855717E-4,6.999740040497937E-9,0.0013648947054055087,0.0022559667848124935
2.464380859177816E-4,4.6221648410310314E-4,1.3331019143147368E-4,5.33185485101493E-9,0.0014606107458743664,0.0029455233229150777
0,5.609591084763363E-4,8.016753927912412E-5,9.197817200727526E-9,0.0016268750607669582,0.002578391355506311
3.0669225480354145E-4,4.419613191683539E-4,2.473477055986722E-4,4.173315489617417E-9,6.98191444032673E-4,9.651793072083402E-4
4.601038744487084E-4,1.400650631279874E-4,2.746713786780744E-4,1.4812307970841095E-8,0.0022827559222836666,0.0037455526535380974
5.689727760396312E-4,0,7.793280990599317E-5,2.808808141120352E-9,8.008500433446336E-4,0.001342352782662325
