% Model,AdvancedModel.mph
% Version,COMSOL 5.5.0.359
% Date,"Sep 8 2024, 18:57"
% Dimension,3
% Nodes,1158
% Expressions,2
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0,Tcell (kg/m^3) @ t=0.2
0.002026,5.98E-4,0.001361,399.99999999999994,399.2131097295059
0.002095,0,0.001556,399.9999999999999,399.1955779232268
5.5E-4,0.001968,0.0013,399.99999999999994,399.20342947357227
0,0.002095,0.001556,399.9999999999999,399.21320293397645
4.28E-4,0.00168,0.001926,399.99999999999994,399.2179997924391
0,0.001862,0.001883,399.99999999999994,399.2472247483497
0,0.001634,0.002157,399.99999999999994,399.2462476607754
0,0.001965,0.002267,239.99999999999997,239.80992344993282
6.97E-4,0.001489,0.001597,399.99999999999994,399.2168140770062
0.001514,0.001553,7.06E-4,399.99999999999994,399.2617927312999
0.001844,0.00173,4.36E-4,399.99999999999994,399.1993223085669
0.001862,0.001883,0,400,399.19473138827806
0.001634,0.002157,0,399.99999999999994,399.2158841772414
0.001007,0.00235,3.92E-4,399.9999999999999,399.19992865674635
9.48E-4,0.002542,0,399.9999999999999,399.2766388098915
0.001257,0.002276,0,399.99999999999994,399.23999961187843
0.001279,0.002021,5.0E-4,399.99999999999994,399.236859896214
0.001246,0.002729,0,239.99999999999997,239.81741009595993
3.12E-4,0.002967,3.12E-4,183.3333333333333,183.27339392034244
0,0.002969,4.27E-4,199.99999999999997,199.85931474977727
4.27E-4,0.002969,0,199.99999999999997,199.815601515574
3.32E-4,0.00291,6.49E-4,218.18181818181816,218.06585805835027
0,0.002878,8.45E-4,199.99999999999997,199.82538470559624
6.51E-4,0.0029,4.06E-4,199.99999999999997,199.93996922074206
8.45E-4,0.002878,0,199.99999999999997,199.81658744540633
0.001061,0.002784,3.48E-4,200,199.917766685767
6.47E-4,0.002805,8.45E-4,222.22222222222217,222.12085656093348
9.18E-4,0.002783,6.41E-4,199.99999999999997,199.9430484417555
8.64E-4,0.002253,9.72E-4,399.99999999999994,399.19775215072264
9.8E-4,0.002676,9.38E-4,177.77777777777774,177.7005684580815
0.001224,0.002657,6.65E-4,222.22222222222217,222.10948693493094
0.001836,4.36E-4,0.001732,399.99999999999994,399.2157723708973
