% Model,gmshModel.mph
% Version,COMSOL 5.5.0.359
% Date,"Aug 30 2024, 21:22"
% Dimension,3
% Nodes,1705
% Expressions,1
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0
1.27E-4,3.72E-4,9.19E-4,199.99999999999994
0,4.54E-4,8.91E-4,199.99999999999997
2.65E-4,4.2E-4,8.68E-4,239.99999999999997
2.43E-4,2.83E-4,9.28E-4,149.99999999999997
2.93E-4,6.66E-4,6.86E-4,218.18181818181816
1.35E-4,6.42E-4,7.54E-4,181.8181818181818
0,5.88E-4,8.09E-4,199.99999999999997
0,7.07E-4,7.07E-4,199.99999999999997
1.36E-4,7.53E-4,6.43E-4,218.18181818181816
1.39E-4,5.18E-4,8.44E-4,181.8181818181818
2.81E-4,5.48E-4,7.88E-4,160
3.84E-4,3.6E-4,3.6E-4,399.99999999999994
7.36E-4,0,8.61E-4,0
1.27E-4,0,0.001124,0
2.66E-4,0,0.001104,0
0,1.27E-4,0.001124,0
0,0,0.001183,0
4.35E-4,0,0.001049,0
5.95E-4,0,9.71E-4,0
0,2.66E-4,0.001104,0
1.36E-4,0.001132,0,0
0,0.001104,2.67E-4,0
0,0.001124,1.27E-4,0
0,0.001183,0,0
0,0.001284,1.77E-4,0
2.81E-4,0.001117,0,0
1.76E-4,0.001289,0,0
0,0.001395,0,0
4.41E-4,0.00105,0,0
8.59E-4,7.33E-4,0,0
9.66E-4,5.92E-4,0,0
0.001052,4.35E-4,0,0
0,0.001051,4.34E-4,0
5.92E-4,9.66E-4,0,0
7.34E-4,8.6E-4,0,0
0,9.66E-4,5.92E-4,0
0.001104,2.66E-4,0,0
0.001132,0,1.36E-4,0
0.001124,1.27E-4,0,0
0.001183,0,0,0
0.001288,1.74E-4,0,0
8.61E-4,0,7.36E-4,0
0.001289,0,1.71E-4,0
0.001395,0,0,0
0.001117,0,2.81E-4,0
0.001048,0,4.39E-4,0
9.68E-4,0,5.96E-4,0
8.39E-4,1.89E-4,8.2E-4,0
9.1E-4,0,9.36E-4,0
0.001046,0,7.72E-4,0
6.86E-4,1.82E-4,9.08E-4,0
7.56E-4,0,0.001064,0
6.77E-4,3.76E-4,8.89E-4,0
0,4.35E-4,0.001049,0
0,8.66E-4,7.4E-4,0
0,5.95E-4,9.71E-4,0
0,7.42E-4,8.7E-4,0
0,1.75E-4,0.001285,0
1.75E-4,0,0.001286,0
0,0,0.001395,0
0,1.87E-4,0.001513,0
2.52E-4,2.68E-4,0.001195,0
3.99E-4,0,0.001227,0
5.57E-4,1.93E-4,0.00103,0
5.85E-4,0,0.001166,0
0,3.99E-4,0.001227,0
0,3.42E-4,0.001402,0
2.04E-4,0,0.00153,0
0,0,0.001641,0
3.59E-4,0,0.001413,0
2.11E-4,0.001175,2.12E-4,0
0,0.001227,3.99E-4,0
4.25E-4,0.001229,0,0
0,0.0014,3.49E-4,0
0,0.001519,1.94E-4,0
1.99E-4,0.001529,0,0
0,0.001641,0,0
4.58E-4,0.001115,2.26E-4,0
4.02E-4,0.001421,0,0
6.09E-4,0.001138,0,0
5.92E-4,0.001309,0,0
9.65E-4,6.97E-4,2.12E-4,0
0.001027,7.65E-4,0,0
8.78E-4,9.23E-4,0,0
